style,colors,size,category,short_description,long_description,stringified_description,worn_image,basicimg,sale_status
CST546LS,Midnight Navy/Gnomes Print,2XL;3XL;4XL;5XL;M;S;XL;XS;XXS;L,scrubs;scrub tops;maternity;cotton;aged care;allied health;nursing;dentistry;carers;veterinary;male;scrub maternity,Womens Christmas V-Neck Short Sleeve Scrub Top,"{'sizes': ['XXS - 5XL'], 'fabric': ['97% Cotton 3% Elastane'], 'features': ['Classic V-neck design', 'Relaxed fit', 'Bust darts for shape', 'Two deep front pockets', 'Side splits']}","Sizes: XXS - 5XL; Fabric: 97% Cotton 3% Elastane; Features: Classic V-neck design,Relaxed fit,Bust darts for shape,Two deep front pockets,Side splits; ",CST546LS_Talent_MidnightNavy_GnomesPrint_01_zHtdbn7.jpg,CST546LS_Talent_MidnightNavy_GnomesPrint_01_zHtdbn7.jpg,new style
CST546US,Midnight Navy/Gnomes Print,2XL;3XL;5XL;M;S;4XL;L;XL;XS;XXS,scrubs;scrub tops;maternity;cotton;aged care;allied health;nursing;dentistry;carers;veterinary;female;scrub maternity,Unisex Christmas V-Neck Short Sleeve Scrub Top,"{'sizes': ['XXS - 5XL'], 'fabric': ['97% Cotton 3% Elastane'], 'features': ['Classic V-neck design', 'Relaxed fit', 'Two deep front pockets', 'Chest pocket', ' Side splits']}","Sizes: XXS - 5XL; Fabric: 97% Cotton 3% Elastane; Features: Classic V-neck design,Relaxed fit,Two deep front pockets,Chest pocket, Side splits; ",CST546US_Talent_MidnightNavy_GnomesPrint_01_VGmyMpp.jpg,CST546US_Talent_MidnightNavy_GnomesPrint_01_VGmyMpp.jpg,new style
CST547LS,Midnight Navy/Gnomes Print;Mid Blue/Koala Print;Teal/Australian Christmas Print,2XL;3XL;4XL;S;5XL;L;M;XL;XS;XXS,scrubs;scrub tops;maternity;polyester;aged care;allied health;nursing;dentistry;carers;veterinary;female;scrub maternity,Womens Christmas V-Neck Short Sleeve Scrub Top,"{'sizes': ['XXS - 5XL'], 'fabric': ['96% Recycled Polyester 4% Elastane'], 'features': ['Classic V-neck design', 'Relaxed fit', 'Bust darts for shape', 'Two deep front pockets', 'Side splits']}","Sizes: XXS - 5XL; Fabric: 96% Recycled Polyester 4% Elastane; Features: Classic V-neck design,Relaxed fit,Bust darts for shape,Two deep front pockets,Side splits; ",CST547LS_Talent_MidnightNavy_GnomesPrint_01_IZUMztY.jpg,CST547LS_Talent_MidnightNavy_GnomesPrint_01_IZUMztY.jpg;CST547LS_Talent_MidBlue_KoalaPrint_01_mw5bVlo.jpg;CST547LS_Talent_Teal_AustralianChristmasPrint_01_XcPud38.jpg,new style
CST547US,Midnight Navy/Gnomes Print;Mid Blue/Koala Print;Teal/Australian Christmas Print,2XL;3XL;5XL;L;M;XL;4XL;S;XS;XXS,scrubs;scrub tops;maternity;polyester;aged care;allied health;nursing;dentistry;carers;veterinary;male;scrub maternity,Unisex Christmas V-Neck Short Sleeve Scrub Top,"{'sizes': ['XXS - 5XL'], 'fabric': ['96% Recycled Polyester 4% Elastane'], 'features': ['Classic V-neck design', 'Relaxed fit', 'Two deep front pockets', 'Chest pocket', 'Side splits']}","Sizes: XXS - 5XL; Fabric: 96% Recycled Polyester 4% Elastane; Features: Classic V-neck design,Relaxed fit,Two deep front pockets,Chest pocket,Side splits; ",CST547US_Talent_MidnightNavy_GnomesPrint_01_Kv3CBTX.jpg,CST547US_Talent_MidnightNavy_GnomesPrint_01_Kv3CBTX.jpg;CST547US_Talent_MidBlue_KoalaPrint_01_vZOGItI.jpg;CST547US_Talent_Teal_AustralianChristmasPrint_01_fYJRTBF.jpg,new style
