style,colors,size,category,short_description,long_description,stringified_description,worn_image,basicimg,sale_status
70716S,Black;Marine,107S;127S;122S;117S;112S,siena suiting;pants;male;separate suiting;mix and match;suiting,Mens Siena Slim Fit Flat Front Pant (Stout),"{'sizes': ['107S - 127S (AUS/NZ)'], 'fabric': ['79% Polyester 17% Viscose 4% Elastane', 'A lightweight easy care fabric that is soft, and durable. Contains stretch for comfort and Viscose for breathability. Suitable for both functional and corporate roles.'], 'features': ['Tailored from soft polyester viscose fabric, in a refined slim leg shape with pressed creases for a polished look.']}","Sizes: 107S - 127S (AUS/NZ); Fabric: 79% Polyester 17% Viscose 4% Elastane,A lightweight easy care fabric that is soft, and durable. Contains stretch for comfort and Viscose for breathability. Suitable for both functional and corporate roles.; Features: Tailored from soft polyester viscose fabric, in a refined slim leg shape with pressed creases for a polished look.; ",70716S_bProduct_Black_01_Gghe1jZ.jpg,70716S_bProduct_Black_01_Gghe1jZ.jpg;70716S_bProduct_Black_02_XNSqp1B.jpg;70716S_bProduct_Marine_02_VHDE8vy.jpg;70716S_bProduct_Marine_01_WrPi7Ys.jpg;70716S_Talent_Marine_01_PrU3jCu.jpg,normal
74012,Black;Navy,77;82;87;92;97;102;107;112;117;122;72,comfort wool stretch;best sellers;pants;regular fit;male;separate suiting;suiting;mix and match;banking and finance;corporate education,Mens Comfort Wool Stretch Flat Front Pant,"{'sizes': ['72R - 122R (AUS/NZ)', '30R - 48R (CA/US)'], 'fabric': ['55% Polyester 43% Wool 2% Elastane', 'Premium wool blend suiting with polyester for durability. With the added stretch and comfort of Elastane.'], 'features': ['Flat front, straight through the leg. Waistband with stretch fusing. Internal security pocket on right front pocket, and two rear pockets.']}","Sizes: 72R - 122R (AUS/NZ),30R - 48R (CA/US); Fabric: 55% Polyester 43% Wool 2% Elastane,Premium wool blend suiting with polyester for durability. With the added stretch and comfort of Elastane.; Features: Flat front, straight through the leg. Waistband with stretch fusing. Internal security pocket on right front pocket, and two rear pockets.; ",74012_bProduct_Black_01_G7Tj1HH.jpg,74012_bProduct_Black_01_G7Tj1HH.jpg;74012_bProduct_Black_02_eHQYDxI.jpg;74012_bProduct_Navy_01_fvDP194.jpg;74012_bProduct_Navy_02_HLztdjI.jpg;74012_Talent_Navy_01_Dy87Hsm.jpg,normal
74013,Navy;Black;Charcoal,72;77;82;87;92;97;102;107;112,comfort wool stretch;pants;slim fit;male;separate suiting;suiting;business;mix and match,Mens Comfort Wool Stretch Slimline Pant,"{'sizes': ['72R - 112R (AUS/NZ)', '28R - 44R (CA/US)'], 'fabric': ['55% Polyester 43% Wool 2% Elastane', 'Premium wool blend suiting with polyester for durability. With the added stretch and comfort of Elastane.'], 'features': ['Flat front and tapered through the leg. Waistband with stretch fusing. Internal security pocket on right front pocket, and two rear pockets.']}","Sizes: 72R - 112R (AUS/NZ),28R - 44R (CA/US); Fabric: 55% Polyester 43% Wool 2% Elastane,Premium wool blend suiting with polyester for durability. With the added stretch and comfort of Elastane.; Features: Flat front and tapered through the leg. Waistband with stretch fusing. Internal security pocket on right front pocket, and two rear pockets.; ",74013_bProduct_Navy_01_ej0UOaT.jpg,74013_bProduct_Navy_01_ej0UOaT.jpg;74013_bProduct_Navy_02_nvjrCLn.jpg;74013_Talent_Navy_01_te0lRQG.jpg;74013_bProduct_Black_02_oHKt5Ej.jpg;74013_bProduct_Black_01_upqkOzJ.jpg;74013_bProduct_Charcoal_02_6cljsix.jpg;74013_bProduct_Charcoal_01_fqLb4eo.jpg,normal
74014,Black;Charcoal;Navy,72;77;82;87;92;97;102;107;112;117;122;127,comfort wool stretch;pants;male;separate suiting;mix and match;suiting;banking and finance;corporate education,Mens Comfort Wool Stretch Adjustable Waist Pant,"{'sizes': ['72R - 127R (AUS/NZ)', '28R - 50R (CA/US)'], 'fabric': ['55% Polyester 43% Wool 2% Elastane', 'Premium wool blend suiting with polyester for durability. With the added stretch and comfort of Elastane.'], 'features': ['Flat front and straight through the leg. With hidden elastic waistband for extra stretch and comfort. A ‘roomier’ mid-rise and deep side pockets.']}","Sizes: 72R - 127R (AUS/NZ),28R - 50R (CA/US); Fabric: 55% Polyester 43% Wool 2% Elastane,Premium wool blend suiting with polyester for durability. With the added stretch and comfort of Elastane.; Features: Flat front and straight through the leg. With hidden elastic waistband for extra stretch and comfort. A roomier mid-rise and deep side pockets.; ",74014_Talent_Black_01_Aw0L6YU.jpg,74014_Talent_Black_01_Aw0L6YU.jpg;74014_bProduct_Charcoal_02_R4wsgpj.jpg;74014_bProduct_Charcoal_01_x0G9nP1.jpg;74014_bProduct_Navy_02_MClAaxO.jpg;74014_bProduct_Navy_01_SdIOYXX.jpg,normal
80111,Navy;Charcoal;Black,102;107;112;127;132;137;117;122;92;97;142;87,jackets;cool stretch plain;regular fit;male;long sleeve;separate suiting;suiting;mix and match;government and council;corporate office;customer service,Mens Cool Stretch 2 Button Classic Jacket,"{'sizes': ['87R - 142R (AUS/NZ)', '34R - 56R (CA/US)'], 'fabric': ['92% Polyester 8% Bamboo Charcoal', 'Versatile and durable suiting fabric. Breathable fabric perfect for warmer climates keeping you cool and dry. Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour.'], 'features': ['A comfortable and well structured jacket can complete any outfit. With under-arm comfort pads, lining with silver piping trim, embroidery zip and double vents at the rear, and fully functional outer pockets.']}","Sizes: 87R - 142R (AUS/NZ),34R - 56R (CA/US); Fabric: 92% Polyester 8% Bamboo Charcoal,Versatile and durable suiting fabric. Breathable fabric perfect for warmer climates keeping you cool and dry. Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour.; Features: A comfortable and well structured jacket can complete any outfit. With under-arm comfort pads, lining with silver piping trim, embroidery zip and double vents at the rear, and fully functional outer pockets.; ",80111_bProduct_Navy_02_mTFtQyi.jpg,80111_bProduct_Navy_02_mTFtQyi.jpg;80111_bProduct_Navy_01_n4R4ugw.jpg;80111_Talent_Navy_01_ajE38Te.jpg;80111_bProduct_Charcoal_01_xQYeajd.jpg;80111_bProduct_Charcoal_02_88Dap3A.jpg;80111_bProduct_Black_02_ilk8ffW.jpg;80111_bProduct_Black_01_F739XFT.jpg;80111_Talent_Black_01_lgIe0jp.jpg,normal
80717,Black;Marine,87;92;97;102;112;117;122;127;132;137;142;107,jackets;siena suiting;male;separate suiting;mix and match;suiting;government and council;corporate office;corporate hospitality,Mens Siena 2 Button Jacket,"{'sizes': ['87 - 142 (AUS/NZ)'], 'fabric': ['79% Polyester 17% Viscose 4% Elastane', 'A lightweight easy care fabric that is soft, and durable. Contains stretch for comfort and Viscose for breathability. Suitable for both functional and corporate roles.'], 'features': ['A structured jacket designed to streamline your frame. Finished with on-trend pick stitching for extra sophistication.']}","Sizes: 87 - 142 (AUS/NZ); Fabric: 79% Polyester 17% Viscose 4% Elastane,A lightweight easy care fabric that is soft, and durable. Contains stretch for comfort and Viscose for breathability. Suitable for both functional and corporate roles.; Features: A structured jacket designed to streamline your frame. Finished with on-trend pick stitching for extra sophistication.; ",80717_bProduct_Black_01_EiF84yO.jpg,80717_bProduct_Black_01_EiF84yO.jpg;80717_bProduct_Black_02_qDmoSLm.jpg;80717_Talent_Black_01_OlhugpQ.jpg;80717_bProduct_Marine_02_he8Malq.jpg;80717_bProduct_Marine_01_Z2ZiHYI.jpg;80717_Talent_Marine_02_sdKE7KJ.jpg,normal
84011,Black;Charcoal;Navy,87;97;102;107;112;117;122;127;132;137;142;92,comfort wool stretch;jackets;regular fit;male;long sleeve;separate suiting;suiting;mix and match;banking and finance;corporate education,Mens Comfort Wool Stretch 2 Button Classic Jacket,"{'sizes': ['87R - 142R (AUS/NZ)', '34R - 56R (CA/US)'], 'fabric': ['55% Polyester 43% Wool 2% Elastane', 'Premium wool blend suiting with polyester for durability. With the added stretch and comfort of Elastane.'], 'features': ['A comfortable and well structured jacket can complete any outfit. With under-arm comfort pads, lining with silver piping trim, embroidery zip and double vents at the rear, and fully functional outer pockets.']}","Sizes: 87R - 142R (AUS/NZ),34R - 56R (CA/US); Fabric: 55% Polyester 43% Wool 2% Elastane,Premium wool blend suiting with polyester for durability. With the added stretch and comfort of Elastane.; Features: A comfortable and well structured jacket can complete any outfit. With under-arm comfort pads, lining with silver piping trim, embroidery zip and double vents at the rear, and fully functional outer pockets.; ",84011_bProduct_Black_02_luZDTii.jpg,84011_bProduct_Black_02_luZDTii.jpg;84011_bProduct_Black_01_6anQtki.jpg;84011_bProduct_Charcoal_02_pM2EBWh.jpg;84011_bProduct_Charcoal_01_ldD9Fuv.jpg;84011_Talent_Charcoal_01_7xMjs1x.jpg;84011_bProduct_Navy_01_ex1opDn.jpg;84011_bProduct_Navy_02_8CQgTqJ.jpg,normal
99300,Black/Brown,97;127,accessories;boulevard;belts;male;separates;mix and match;government and council;corporate office;banking and finance;customer service;corporate education,Mens Leather Reversible Belt,"{'sizes': ['72-97, 102-127 (AUS/NZ)', '28-38, 40-50 (CA/US)'], 'fabric': ['MENS LEATHER REVERSIBLE BELT', '100% leather centre, with 100% PU outer'], 'features': ['A quality reversible corporate belt that is versatile in function. Alternative waist style options with brown on one side and plain black on the reverse.']}","Sizes: 72-97, 102-127 (AUS/NZ),28-38, 40-50 (CA/US); Fabric: MENS LEATHER REVERSIBLE BELT,100% leather centre, with 100% PU outer; Features: A quality reversible corporate belt that is versatile in function. Alternative waist style options with brown on one side and plain black on the reverse.; ",99300_Talent_Black_Brown_00_rhUa4RT.jpg,99300_Talent_Black_Brown_00_rhUa4RT.jpg;99300_bProduct_Black_Brown_02_o8HLmZg.jpg;99300_bProduct_Black_Brown_01_6ajdQCS.jpg,normal
FAB1,Navy;Black;Charcoal,FRE,fabric packs;unisex,Comfort Wool Stretch Suiting,"{'sizes': ['5 Metres'], 'fabric': ['55% Polyester 43% Wool 2% Elastane'], 'features': ['Comfort Wool Stretch Suiting', 'Fabric packs consist of 5 metre lengths of fabric to enable you to create your own garments outside of our size range', 'Please remember to nominate the colour that you require']}","Sizes: 5 Metres; Fabric: 55% Polyester 43% Wool 2% Elastane; Features: Comfort Wool Stretch Suiting,Fabric packs consist of 5 metre lengths of fabric to enable you to create your own garments outside of our size range,Please remember to nominate the colour that you require; ",FAB_CWS_Navy.jpg,FAB_CWS_Navy.jpg;FAB_CWS_Black.jpg;FAB_CWS_Charcoal.jpg,normal
FAB2,Charcoal;Navy;Black,FRE,fabric packs;male,Mens Cool Stretch Plain Suiting,"{'sizes': ['5 Metres'], 'fabric': ['92% Polyester 8% Bamboo Charcoal'], 'features': ['Cool Stretch Plain Suiting', 'Fabric packs consist of 5 metre lengths of fabric to enable you to create your own garments outside of our size range', 'Please remember to nominate the colour that you require']}","Sizes: 5 Metres; Fabric: 92% Polyester 8% Bamboo Charcoal; Features: Cool Stretch Plain Suiting,Fabric packs consist of 5 metre lengths of fabric to enable you to create your own garments outside of our size range,Please remember to nominate the colour that you require; ",FAB_CS_Charcoal.jpg,FAB_CS_Charcoal.jpg;FAB_CS_Navy.jpg;FAB_CS_Black.jpg,normal
